部品名,価格,個数,合計,URL,備考
チップコンデンサ10uF,15,2,30,https://akizukidenshi.com/catalog/g/gP-13161/,
チップコンデンサ0.1uF,2.5,9,22.5,https://akizukidenshi.com/catalog/g/gP-13374/,
チップコンデンサ10pF,1.8,2,3.6,https://akizukidenshi.com/catalog/g/gP-05520/,
チップLED GREEN,12.5,2,25,https://akizukidenshi.com/catalog/g/gI-06417/,
チップLED RED,10,1,10,https://akizukidenshi.com/catalog/g/gI-03978/,
チップLED YELLOW,10,1,10,https://akizukidenshi.com/catalog/g/gI-03984/,
USB miniBコネクタ,50,1,50,https://akizukidenshi.com/catalog/g/gC-05843/,
ICSP用PAD　はんだづけ非推奨,0,1,0,[参考]https://akizukidenshi.com/catalog/g/gC-06098/,
表面実装ライトアングルピンヘッダ　1×29,103.4,1,103.4,https://www.hirosugi-net.co.jp/shop/g/g24028/,お好きなコネクタでもﾖｼｯ
チップ抵抗1kΩ,0.2,4,0.8,https://akizukidenshi.com/catalog/g/gR-14122/,DigiKeyやRS componentsならもっと少ない単位で購入可能
チップ抵抗4.7kΩ,0.2,2,0.4,https://akizukidenshi.com/catalog/g/gR-14121/,DigiKeyやRS componentsならもっと少ない単位で購入可能
チップ抵抗10kΩ,0.2,1,0.2,https://akizukidenshi.com/catalog/g/gR-15029/,DigiKeyやRS componentsならもっと少ない単位で購入可能
表面実装スイッチ,22,1,22,https://akizukidenshi.com/catalog/g/gP-14888/,
3端子レギュレータ NJM2845DL1-33,50,1,50,https://akizukidenshi.com/catalog/g/gI-11299/,
USBシリアル変換 CH340G,100,1,100,https://akizukidenshi.com/catalog/g/gI-13544/,
AVRマイコン ATMEGA328P-AU,370,1,370,https://akizukidenshi.com/catalog/g/gI-04386/,
クリスタル12MHz,50,1,50,https://akizukidenshi.com/catalog/g/gP-05225/,
セラロック16MHz,22,1,22,https://akizukidenshi.com/catalog/g/gP-14562/,
,,,869.9,,
